,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
34,,0,Do you know the age of Jamie Dimon?,"Вы знаете, сколько лет Джейми Даймону?",Connaissez-vous l'âge de Jamie Dimon ?,"Wissen Sie, wie alt Jamie Dimon ist?",האם אתה יודע בן כמה ג'יימי דיימון?,هل تعرف عمر جيمي ديمون؟,你知道杰米·戴蒙的年龄吗？
35,,0,What is the age of Warren Buffett?,Сколько лет Уоррену Баффету?,Quel est l'âge de Warren Buffett ?,Wie alt ist Warren Buffett?,בן כמה וורן באפט?,كم عمر وارن بافيت؟,沃伦·巴菲特今年多大？
36,,0,How many years old is Bernard Arnault?,Сколько лет Бернару Арно?,Quel âge a Bernard Arnault ?,Wie alt ist Bernard Arnault?,בן כמה ברנאר ארנו?,كم عمر برنارد أرنو؟,伯纳德·阿尔诺今年几岁？
37,,0,What age is Malala Yousafzai?,Сколько лет Малале Юсуфзай?,Quel âge a Malala Yousafzai ?,Wie alt ist Malala Yousafzai?,בת כמה מלאלה יוספזאי?,كم عمر ملالا يوسفزاي؟,马拉拉·优素福扎伊今年多大？
38,,0,Can you tell me how old Pope Francis is?,"Можете ли вы сказать, сколько лет папе Франциску?",Pouvez-vous me dire quel âge a le pape François ?,"Können Sie mir sagen, wie alt Papst Franziskus ist?",האם תוכל לומר לי בן כמה האפיפיור פרנסיסקוס?,هل يمكنك أن تخبرني كم عمر البابا فرنسيس؟,你能告诉我教皇方济各今年多大了吗？
39,,0,Do you know the age of Dalai Lama?,"Вы знаете, сколько лет Далай-ламе?",Connaissez-vous l'âge du Dalaï Lama ?,"Wissen Sie, wie alt der Dalai Lama ist?",האם אתה יודע בן כמה הדלאי לאמה?,هل تعرف عمر الدالاي لاما؟,你知道达赖喇嘛的年龄吗？
40,,0,What is the age of Angela Davis?,Сколько лет Анджеле Дэвис?,Quel est l'âge d'Angela Davis ?,Wie alt ist Angela Davis?,בן כמה אנג'לה דייוויס?,كم عمر أنجيلا ديفيس؟,安吉拉·戴维斯今年多大？
41,,0,How many years old is Yuval Noah Harari?,Сколько лет Ювалю Ной Харари?,Quel âge a Yuval Noah Harari ?,Wie alt ist Yuval Noah Harari?,בן כמה יובל נח הררי?,كم عمر يوفال نوح هراري؟,尤瓦尔·赫拉利今年几岁？
42,,0,What age is Ryan Reynolds?,Сколько лет Райану Рейнольдсу?,Quel âge a Ryan Reynolds ?,Wie alt ist Ryan Reynolds?,בן כמה ריאן ריינולדס?,كم عمر رايان رينولدز؟,瑞安·雷诺兹多大了？
43,,0,Can you tell me how old Scarlett Johansson is?,"Можете ли вы сказать, сколько лет Скарлетт Йоханссон?",Pouvez-vous me dire quel âge a Scarlett Johansson ?,"Können Sie mir sagen, wie alt Scarlett Johansson ist?",אתה יכול להגיד לי בת כמה סקרלט ג'והנסון?,هل يمكنك أن تخبرني كم عمر سكارليت جوهانسون؟,你能告诉我斯嘉丽·约翰逊多大了吗？
44,,0,Do you know the age of Chris Evans?,"Ты знаешь, сколько лет Крису Эвансу?",Connais-tu l'âge de Chris Evans ?,"Weißt du, wie alt Chris Evans ist?",אתה יודע בן כמה כריס אוונס?,هل تعرف عمر كريس إيفانز؟,你知道克里斯·埃文斯的年龄吗？
45,,0,What is the age of Zendaya?,Сколько лет Зендае?,Quel âge a Zendaya ?,Wie alt ist Zendaya?,בן כמה זנדאיה?,كم عمر زندايا؟,Zendaya多大了？
46,,0,How many years old is Timothée Chalamet?,Сколько лет Тимоти Шаламе?,Quel âge a Timothée Chalamet ?,Wie alt ist Timothée Chalamet?,בן כמה טימותי שאלאמה?,كم عمر تيموثي شالاميه؟,提莫西·查拉梅今年几岁？
47,,0,What age is Margot Robbie?,Сколько лет Марго Робби?,Quel âge a Margot Robbie ?,Wie alt ist Margot Robbie?,בן כמה מרגו רובי?,كم عمر مارغو روبي؟,玛格特·罗比多大了？
48,,0,Can you tell me how old Keanu Reeves is?,"Можете ли вы сказать, сколько лет Киану Ривзу?",Pouvez-vous me dire quel âge a Keanu Reeves ?,"Können Sie mir sagen, wie alt Keanu Reeves ist?",אתה יכול להגיד לי בן כמה קיאנו ריבס?,هل يمكنك أن تخبرني كم عمر كيانو ريفز؟,你能告诉我基努·里维斯多大了吗？
49,,0,Do you know the age of Sandra Bullock?,"Вы знаете, сколько лет Сандре Буллок?",Connaissez-vous l'âge de Sandra Bullock ?,"Weißt du, wie alt Sandra Bullock ist?",אתה יודע בת כמה סנדרה בולוק?,هل تعرف عمر ساندرا بولوك؟,你知道桑德拉·布洛克的年龄吗？
50,,0,What is the age of LeBron James?,Сколько лет Леброну Джеймсу?,Quel est l'âge de LeBron James ?,Wie alt ist LeBron James?,בן כמה לברון ג'יימס?,كم عمر ليبرون جيمس؟,勒布朗·詹姆斯多大了？
51,,0,How many years old is Donald Trump?,Сколько лет Дональду Трампу?,Quel âge a Donald Trump ?,Wie alt ist Donald Trump?,בן כמה דונלד טראמפ?,كم عمر دونالد ترامب؟,唐纳德·特朗普今年几岁？
52,,0,What age is Oprah Winfrey?,Сколько лет Опре Уинфри?,Quel âge a Oprah Winfrey ?,Wie alt ist Oprah Winfrey?,בן כמהה אופרה ווינפרי?,كم عمر أوبرا وينفري؟,奥普拉·温弗瑞今年多大？
53,,0,Can you tell me how old Taylor Swift is?,"Можешь сказать, сколько лет Тейлор Свифт?",Peux-tu me dire quel âge a Taylor Swift ?,"Kannst du mir sagen, wie alt Taylor Swift ist?",אתה יכול להגיד לי בת כמה טיילור סוויפט?,هل يمكنك أن تخبرني كم عمر تايلور سويفت؟,你能告诉我泰勒·斯威夫特多大了吗？
54,,0,Do you know the age of Rihanna?,"Ты знаешь, сколько лет Рианне?",Connais-tu l'âge de Rihanna ?,"Weißt du, wie alt Rihanna ist?",אתה יודע בת כמה ריהאנה?,هل تعرف عمر ريهانا؟,你知道蕾哈娜几岁了吗？
55,,0,What is Mark Zuckerberg's age?,Сколько лет Марку Цукербергу?,Quel âge a Mark Zuckerberg ?,Wie alt ist Mark Zuckerberg?,בן כמה מארק צוקרברג?,كم عمر مارك زوكربيرج؟,马克·扎克伯格多大了？
56,,0,How many years old is Tiger Woods?,Сколько лет Тайгеру Вудсу?,Quel âge a Tiger Woods ?,Wie alt ist Tiger Woods?,בן כמה טייגר וודס?,كم عمر تايغر وودز؟,老虎伍兹今年几岁？
57,,0,What age is Jeff Bezos?,Сколько лет Джеффу Безосу?,Quel âge a Jeff Bezos ?,Wie alt ist Jeff Bezos?,בן כמה ג'ף בזוס?,كم عمر جيف بيزوس؟,杰夫·贝索斯多大年纪？
58,,0,Can you tell me how old Will Smith is?,"Можете ли вы сказать, сколько лет Уиллу Смиту?",Pouvez-vous me dire quel âge a Will Smith ?,"Können Sie mir sagen, wie alt Will Smith ist?",אתה יכול להגיד לי בן כמה ויל סמית'?,هل يمكنك أن تخبرني كم عمر ويل سميث؟,你能告诉我威尔·史密斯多大了吗？
59,,0,Do you know the age of Robert Downey Jr.?,"Вы знаете, сколько лет Роберту Дауни-младшему?",Connaissez-vous l'âge de Robert Downey Jr. ?,"Weißt du, wie alt Robert Downey Jr. ist?",אתה יודע בן כמה רוברט דאוני ג'וניור?,هل تعرف عمر روبرت داوني جونيور؟,你知道小罗伯特·唐尼的年龄吗？
60,,0,What is the age of Bill Gates?,Сколько лет Биллу Гейтсу?,Quel est l'âge de Bill Gates ?,Wie alt ist Bill Gates?,בן כמה ביל גייטס?,كم عمر بيل غيتس؟,比尔·盖茨多大年纪？
61,,0,How many years old is Elon Musk?,Сколько лет Илону Маску?,Quel âge a Elon Musk ?,Wie alt ist Elon Musk?,בן כמה אילון מאסק?,كم عمر إيلون ماسك؟,埃隆·马斯克今年几岁？
62,,0,What age is Justin Bieber?,Сколько лет Джастину Биберу?,Quel âge a Justin Bieber ?,Wie alt ist Justin Bieber?,בן כמה ג'סטין ביבר?,كم عمر جاستن بيبر؟,贾斯汀·比伯多大了？
63,,0,Can you tell me how old Beyoncé is?,"Можешь сказать, сколько лет Бейонсе?",Peux-tu me dire quel âge a Beyoncé ?,"Kannst du mir sagen, wie alt Beyoncé ist?",אתה יכול להגיד לי בת כמה ביונסה?,هل يمكنك أن تخبرني كم عمر بيونسيه؟,你能告诉我碧昂丝多大了吗？
64,,0,Do you know the age of Kim Kardashian?,"Вы знаете, сколько лет Ким Кардашьян?",Connaissez-vous l'âge de Kim Kardashian ?,"Weißt du, wie alt Kim Kardashian ist?",אתה יודע בן כמה קים קרדשיאן?,هل تعرف عمر كيم كارداشيان؟,你知道金·卡戴珊的年龄吗？
65,,0,What is the age of Dwayne Johnson?,Сколько лет Дуэйну Джонсону?,Quel est l'âge de Dwayne Johnson ?,Wie alt ist Dwayne Johnson?,בן כמה דוויין ג'ונסון?,كم عمر دواين جونسون؟,德韦恩·约翰逊多大了？
66,,0,How many years old is Selena Gomez?,Сколько лет Селене Гомес?,Quel âge a Selena Gomez ?,Wie alt ist Selena Gomez?,בן כמה סלינה גומז?,كم عمر سيلينا غوميز؟,赛琳娜·戈麦斯今年几岁？
67,,0,What age is Kylie Jenner?,Сколько лет Кайли Дженнер?,Quel âge a Kylie Jenner ?,Wie alt ist Kylie Jenner?,בן כמה קיילי ג'נר?,كم عمر كايلي جينر؟,凯莉·詹娜多大了？
68,,0,Can you tell me how old Lionel Messi is?,"Можете ли вы сказать, сколько лет Лионелю Месси?",Pouvez-vous me dire quel âge a Lionel Messi ?,"Können Sie mir sagen, wie alt Lionel Messi ist?",אתה יכול להגיד לי בן כמה ליאונל מסי?,هل يمكنك أن تخبرني كم عمر ليونيل ميسي؟,你能告诉我莱昂内尔·梅西多大了吗？
69,,0,Do you know the age of Cristiano Ronaldo?,"Вы знаете, сколько лет Криштиану Роналду?",Connaissez-vous l'âge de Cristiano Ronaldo ?,"Weißt du, wie alt Cristiano Ronaldo ist?",האם אתה יודע בן כמה כריסטיאנו רונאלדו?,هل تعرف عمر كريستيانو رونالدو؟,你知道克里斯蒂亚诺·罗纳尔多的年龄吗？
70,,0,What is the age of Tom Cruise?,Сколько лет Тому Крузу?,Quel est l'âge de Tom Cruise ?,Wie alt ist Tom Cruise?,בן כמה טום קרוז?,كم عمر توم كروز؟,汤姆·克鲁斯多大了？
71,,0,How many years old is Brad Pitt?,Сколько лет Брэду Питту?,Quel âge a Brad Pitt ?,Wie alt ist Brad Pitt?,בן כמה בראד פיט?,كم عمر براد بيت؟,布拉德·皮特今年多大了？
72,,0,What age is Jennifer Aniston?,Сколько лет Дженнифер Энистон?,Quel âge a Jennifer Aniston ?,Wie alt ist Jennifer Aniston?,בן כמה ג'ניפר אניסטון?,كم عمر جينيفر أنيستون؟,詹妮弗·安妮斯顿今年多大？
73,,0,Can you tell me how old Leonardo DiCaprio is?,"Можете ли вы сказать, сколько лет Леонардо ДиКаприо?",Pouvez-vous me dire quel âge a Leonardo DiCaprio ?,"Können Sie mir sagen, wie alt Leonardo DiCaprio ist?",אתה יכול להגיד לי בן כמה לאונרדו דיקפריו?,هل يمكنك أن تخبرني كم عمر ليوناردو دي كابريو؟,你能告诉我莱昂纳多·迪卡普里奥多大了吗？
74,,0,Do you know the age of Angelina Jolie?,Вы знаете возраст Анджелины Джоли?,Connaissez-vous l'âge d'Angelina Jolie ?,"Wissen Sie, wie alt Angelina Jolie ist?",האם אתה יודע מה הגיל של אנג'לינה ג'ולי?,هل تعرف عمر أنجلينا جولي؟,你知道安吉丽娜·朱莉的年龄吗？
75,,0,What is the age of Barack Obama?,Сколько лет Бараку Обаме?,Quel est l'âge de Barack Obama ?,Wie alt ist Barack Obama?,בן כמה ברק אובמה?,كم عمر باراك أوباما؟,巴拉克·奥巴马今年多大？
76,,0,How many years old is Michelle Obama?,Сколько лет Мишель Обаме?,Quel âge a Michelle Obama ?,Wie alt ist Michelle Obama?,בן כמה מישל אובמה?,كم عمر ميشيل أوباما؟,米歇尔·奥巴马今年几岁？
77,,0,What age is Joe Biden?,Сколько лет Джо Байдену?,Quel âge a Joe Biden ?,Wie alt ist Joe Biden?,בן כמה ג'ו ביידן?,كم عمر جو بايدن؟,乔·拜登多大年纪？
78,,0,Can you tell me how old Kamala Harris is?,"Можете ли вы сказать, сколько лет Камале Харрис?",Pouvez-vous me dire quel âge a Kamala Harris ?,"Können Sie mir sagen, wie alt Kamala Harris ist?",האם תוכל לומר לי בת כמה קמלה האריס?,هل يمكنك أن تخبرني كم عمر كامالا هاريس؟,你能告诉我卡马拉·哈里斯多大了吗？
79,,0,Do you know the age of Vladimir Putin?,"Вы знаете, сколько лет Владимиру Путину?",Connaissez-vous l'âge de Vladimir Poutine ?,"Wissen Sie, wie alt Wladimir Putin ist?",האם אתה יודע בן כמה ולדימיר פוטין?,هل تعرف عمر فلاديمير بوتين؟,你知道弗拉基米尔·普京的年龄吗？
80,,0,What is the age of Xi Jinping?,Сколько лет Си Цзиньпину?,Quel est l'âge de Xi Jinping ?,Wie alt ist Xi Jinping?,בן כמה שי ג'ינפינג?,كم عمر شي جين بينغ؟,习近平多大年龄？
